"Day","Transaction ID","Order name","Payment gateway","Credit card type","Credit card tier","Billing country","Gift card ID","Gross payments","Refunded payments","Net payments"
"2026-06-01",8992343785768,"#142101","shopify_payments","master","standard","United Kingdom",0,65.51,0,65.51
"2026-06-01",8992247021864,"#142076","shopify_payments","visa","standard","United States",0,65.39,0,65.39
"2026-06-01",8992667500840,"#142194","shopify_payments","visa","standard","Canada",0,69.74,0,69.74
"2026-06-01",8992955105576,"#142299","shopify_payments","master","standard","Canada",0,63.08,0,63.08
"2026-06-01",8994297610536,"#142554","shopify_payments","visa","standard","United States",0,63.05,0,63.05
"2026-06-01",8994971517224,"#142638","shopify_payments","visa","standard","United States",0,71.08,0,71.08
"2026-06-01",8993281704232,"#142407","paypal",,,"United States",0,69.58,0,69.58
"2026-06-01",8993447674152,"#142452","shopify_payments","visa","standard","United States",0,63.03,0,63.03
"2026-06-01",8993118552360,"#142360","shopify_payments","visa","standard","Canada",0,69.63,0,69.63
"2026-06-01",8994010562856,"#142522","shopify_payments","master","standard","United Kingdom",0,65.64,0,65.64
"2026-06-01",8995042066728,"#124696","shopify_payments","master","standard","United Kingdom",0,0,-30.97,-30.97
"2026-06-01",8992611664168,"#142175","shopify_payments","master","standard","United Kingdom",0,59.33,0,59.33
"2026-06-01",8992973029672,"#142305","shopify_payments","master","standard","United Kingdom",0,133.07,0,133.07
"2026-06-01",8993918320936,"#142507","paypal",,,"United Kingdom",0,71.16,0,71.16
"2026-06-01",8992902480168,"#142283","shopify_payments","visa","standard","New Zealand",0,70.02,0,70.02
"2026-06-01",8992983318824,"#142310","shopify_payments","master","standard","United Kingdom",0,71.21,0,71.21
"2026-06-01",8994825208104,"#142625","shopify_payments","visa","standard","Canada",0,12.09,0,12.09
"2026-06-01",8991992742184,"#142012","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8993396523304,"#142439","paypal",,,"United States",0,64.29,0,64.29
"2026-06-01",8992937247016,"#142295","shopify_payments","master","standard","Canada",0,69.64,0,69.64
"2026-06-01",8993771421992,"#142494","shopify_payments","visa","standard","United States",0,69.62,0,69.62
"2026-06-01",8992826982696,"#142245","shopify_payments","master","standard","United States",0,69.71,0,69.71
"2026-06-01",8993548697896,"#142474","shopify_payments","visa","standard","United States",0,69.58,0,69.58
"2026-06-01",8992859095336,"#142258","paypal",,,"United States",0,59.28,0,59.28
"2026-06-01",8993057603880,"#142338","shopify_payments","visa","standard","United States",0,69.63,0,69.63
"2026-06-01",8993187987752,"#142390","shopify_payments","master","standard","Canada",0,100.42,0,100.42
"2026-06-01",8992485015848,"#142143","shopify_payments","master","standard","Canada",0,69.56,0,69.56
"2026-06-01",8992430063912,"#142126","shopify_payments","visa","standard","United States",0,105.75,0,105.75
"2026-06-01",8995162784040,"#142668","paypal",,,"United Kingdom",0,71.17,0,71.17
"2026-06-01",8994478391592,"#142578","shopify_payments","visa","standard","Australia",0,72.97,0,72.97
"2026-06-01",8992685621544,"#99717","paypal",,,"Canada",0,0,-15.13,-15.13
"2026-06-01",8993106133288,"#142357","shopify_payments","master","standard","United States",0,100.28,0,100.28
"2026-06-01",8992440844584,"#142130","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8994333229352,"#142559","shopify_payments","visa","standard","United States",0,69.6,0,69.6
"2026-06-01",8994920661288,"#142632","shopify_payments","master","standard","United States",0,71.08,0,71.08
"2026-06-01",8993486897448,"#142464","shopify_payments","master","standard","Canada",0,69.54,0,69.54
"2026-06-01",8992860078376,"#142259","shopify_payments","visa","standard","United States",0,71.1,0,71.1
"2026-06-01",8992529842472,"#142155","shopify_payments","master","standard","United Kingdom",0,65.51,0,65.51
"2026-06-01",8993164132648,"#142386","shopify_payments","visa","standard","United States",0,69.61,0,69.61
"2026-06-01",8993495318824,"#142465","shopify_payments","master","standard","Canada",0,34.76,0,34.76
"2026-06-01",8993438826792,"#142450","Afterpay (New)",,,"United States",0,64.29,0,64.29
"2026-06-01",8994598879528,"#142591","shopify_payments","visa","standard","Australia",0,67.97,0,67.97
"2026-06-01",8993138245928,"#142375","shopify_payments","american_express","premium","United States",0,69.61,0,69.61
"2026-06-01",8992929513768,"#142291","shopify_payments","visa","standard","United States",0,71.03,0,71.03
"2026-06-01",8994757443880,"#142618","shopify_payments","visa","standard","United States",0,65.48,0,65.48
"2026-06-01",8995258073384,"#142677","shopify_payments","master","standard","United Kingdom",0,73.28,0,73.28
"2026-06-01",8994855747880,"#142626","shopify_payments","visa","standard","Australia",0,127.97,0,127.97
"2026-06-01",8994609332520,"#142592","shopify_payments","master","standard","United States",0,71.06,0,71.06
"2026-06-01",8995006284072,"#142647","shopify_payments","visa","standard","United Kingdom",0,64.59,0,64.59
"2026-06-01",8992232800552,"#142073","shopify_payments","master","standard","United Kingdom",0,65.51,0,65.51
"2026-06-01",8993174225192,"#142389","shopify_payments","master","standard","United States",0,56.52,0,56.52
"2026-06-01",8994945401128,"#142636","shopify_payments","visa","standard","United Kingdom",0,65.69,0,65.69
"2026-06-01",8993235992872,"#142400","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8994895495464,"#142631","shopify_payments","visa","standard","United States",0,69.69,0,69.69
"2026-06-01",8994858991912,"#142627","shopify_payments","master","standard","United Kingdom",0,71.32,0,71.32
"2026-06-01",8992895500584,"#142280","shopify_payments","visa","standard","United Kingdom",0,106.83,0,106.83
"2026-06-01",8992628965672,"#142178","shopify_payments","visa","standard","United States",0,69.73,0,69.73
"2026-06-01",8995493445928,"#142726","shopify_payments","visa","standard","Canada",0,73.84,0,73.84
"2026-06-01",8992761151784,"#142217","shopify_payments","visa","standard","United Kingdom",0,57.84,0,57.84
"2026-06-01",8993333674280,"#142420","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8995183788328,"#142670","shopify_payments","master","standard","Canada",0,69.6,0,69.6
"2026-06-01",8992958742824,"#142300","shopify_payments","visa","standard","United States",0,65.46,0,65.46
"2026-06-01",8995499770152,"#142728","shopify_payments","master","standard","United States",0,68.6,0,68.6
"2026-06-01",8992208585000,"#142067","shopify_payments","visa","standard","United Kingdom",0,73,0,73
"2026-06-01",8993150665000,"#142377","shopify_payments","visa","standard","United States",0,69.61,0,69.61
"2026-06-01",8994545729832,"#142584","paypal",,,"United States",0,69.58,0,69.58
"2026-06-01",8993505476904,"#142469","shopify_payments","master","standard","Canada",0,69.54,0,69.54
"2026-06-01",8993135264040,"#142373","shopify_payments","visa","standard","United States",0,130.88,0,130.88
"2026-06-01",8993301823784,"#142412","shopify_payments","master","standard","Canada",0,56.46,0,56.46
"2026-06-01",8995393732904,"#142700","shopify_payments","visa","standard","United Kingdom",0,65.76,0,65.76
"2026-06-01",8992817348904,"#142239","shopify_payments","master","standard","United States",0,68.73,0,68.73
"2026-06-01",8994395423016,"#142569","shopify_payments","visa","standard","United Kingdom",0,73.11,0,73.11
"2026-06-01",8993024573736,"#142324","shopify_payments","master","standard","United States",0,69.63,0,69.63
"2026-06-01",8993592115496,"#142479","shopify_payments","visa","standard","United States",0,69.58,0,69.58
"2026-06-01",8993635402024,"#142485","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8993955643688,"#142510","shopify_payments","visa","standard","United Kingdom",0,73.04,0,73.04
"2026-06-01",8992229851432,"#142071","shopify_payments","master","standard","United Kingdom",0,71.13,0,71.13
"2026-06-01",8995510255912,"#142730","shopify_payments","visa","standard","United Kingdom",0,71.48,0,71.48
"2026-06-01",8993160134952,"#142384","shopify_payments","master","standard","Canada",0,85.78,0,85.78
"2026-06-01",8992387432744,"#142113","shopify_payments","visa","standard","Ireland",0,67.99,0,67.99
"2026-06-01",8992874856744,"#142268","shopify_payments","visa","standard","United States",0,65.52,0,65.52
"2026-06-01",8993482178856,"#142462","shopify_payments","visa","standard","United States",0,69.57,0,69.57
"2026-06-01",8994681094440,"#142606","shopify_payments","visa","standard","United States",0,69.66,0,69.66
"2026-06-01",8992892944680,"#142278","paypal",,,"United States",0,69.58,0,69.58
"2026-06-01",8992242630952,"#142074","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8993087521064,"#142351","shopify_payments","visa","standard","Australia",0,64.99,0,64.99
"2026-06-01",8993203323176,"#142394","shopify_payments","master","standard","United States",0,69.61,0,69.61
"2026-06-01",8995323576616,"#142685","shopify_payments","american_express","premium","United States",0,70.04,0,70.04
"2026-06-01",8992665501992,"#142192","paypal",,,"United Kingdom",0,65.54,0,65.54
"2026-06-01",8992794509608,"#142229","shopify_payments","master","standard","United Kingdom",0,71.29,0,71.29
"2026-06-01",8994450866472,"#142574","shopify_payments","visa","standard","United Kingdom",0,71.23,0,71.23
"2026-06-01",8993603911976,"#142480","shopify_payments","master","standard","United States",0,130.83,0,130.83
"2026-06-01",8995315515688,"#142683","shopify_payments","master","standard","United States",0,68.64,0,68.64
"2026-06-01",8992113000744,"#142050","shopify_payments","master","standard","United Kingdom",0,73,0,73
"2026-06-01",8995541090600,"#142737","shopify_payments","visa","standard","United States",0,68.6,0,68.6
"2026-06-01",8993496105256,"#142466","shopify_payments","visa","standard","United States",0,69.58,0,69.58
"2026-06-01",8992463257896,"#142134","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8993151320360,"#142378","paypal",,,"United States",0,91.85,0,91.85
"2026-06-01",8993310048552,"#142415","Afterpay (New)",,,"Australia",0,64.99,0,64.99
"2026-06-01",8993419657512,"#142447","shopify_payments","american_express","premium","United States",0,69.57,0,69.57
"2026-06-01",8994075214120,"#142530","shopify_payments","master","premium","United Kingdom",0,71.27,0,71.27
"2026-06-01",8995109470504,"#142662","shopify_payments","visa","standard","United States",0,69.73,0,69.73
"2026-06-01",8992883409192,"#142272","shopify_payments","visa","standard","United States",0,69.71,0,69.71
"2026-06-01",8993563377960,"#142475","shopify_payments","american_express","premium","United States",0,69.58,0,69.58
"2026-06-01",8992705511720,"#142202","shopify_payments","visa","standard","United Kingdom",0,71.37,0,71.37
"2026-06-01",8993009107240,"#142319","shopify_payments","visa","standard","United Kingdom",0,71.17,0,71.17
"2026-06-01",8994714583336,"#142612","shopify_payments","master","standard","United States",0,105.9,0,105.9
"2026-06-01",8993061437736,"#142341","shopify_payments","master","standard","United States",0,69.63,0,69.63
"2026-06-01",8992806568232,"#142233","paypal",,,"United States",0,70.97,0,70.97
"2026-06-01",8995449078056,"#142713","shopify_payments","visa","standard","United Kingdom",0,73.36,0,73.36
"2026-06-01",8993990934824,"#142518","shopify_payments","american_express","premium","United Kingdom",0,59.45,0,59.45
"2026-06-01",8993262534952,"#142403","shopify_payments","master","standard","United States",0,53.16,0,53.16
"2026-06-01",8992657670440,"#142184","shopify_payments","visa","standard","United States",0,131.11,0,131.11
"2026-06-01",8992622313768,"#142177","shopify_payments","visa","standard","United Kingdom",0,102.36,0,102.36
"2026-06-01",8992200720680,"#142064","shopify_payments","master","standard","United States",0,69.56,0,69.56
"2026-06-01",8995446522152,"#142711","shopify_payments","master","standard","United States",0,68.64,0,68.64
"2026-06-01",8994155987240,"#142540","shopify_payments","visa","standard","Canada",0,49.89,0,49.89
"2026-06-01",8993394753832,"#142438","shopify_payments","master","standard","United States",0,56.49,0,56.49
"2026-06-01",8994276507944,"#142551","shopify_payments","visa","standard","United Kingdom",0,59.43,0,59.43
"2026-06-01",8992412860712,"#142119","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8993571340584,"#142478","shopify_payments","visa","standard","Canada",0,69.54,0,69.54
"2026-06-01",8995448226088,"#142712","shopify_payments","master","standard","United Kingdom",0,65.76,0,65.76
"2026-06-01",8992777273640,"#142219","shopify_payments","master","standard","United Kingdom",0,65.66,0,65.66
"2026-06-01",8992576700712,"#142167","shopify_payments","visa","standard","United States",0,65.39,0,65.39
"2026-06-01",8994289647912,"#142553","shopify_payments","master","standard","United Kingdom",0,66.18,0,66.18
"2026-06-01",8993787674920,"#142495","shopify_payments","visa","premium","Australia",0,67.97,0,67.97
"2026-06-01",8994874392872,"#119419","shopify_payments","visa","standard","United Kingdom",0,0,-30.96,-30.96
"2026-06-01",8993381286184,"#142431","shopify_payments","master","standard","United States",0,69.57,0,69.57
"2026-06-01",8992826425640,"#142244","shopify_payments","visa","standard","United States",0,65.52,0,65.52
"2026-06-01",8994823373096,"#142624","shopify_payments","master","standard","Hong Kong",0,65.69,0,65.69
"2026-06-01",8992887963944,"#142274","shopify_payments","visa","premium","United States",0,69.71,0,69.71
"2026-06-01",8994393817384,"#142568","shopify_payments","visa","standard","United Kingdom",0,71.23,0,71.23
"2026-06-01",8992481444136,"#142142","shopify_payments","master","standard","United States",0,69.56,0,69.56
"2026-06-01",8995428532520,"#142707","shopify_payments","visa","standard","United States",0,68.64,0,68.64
"2026-06-01",8995279339816,"#142679","shopify_payments","visa","standard","Canada",0,68.8,0,68.8
"2026-06-01",8992528204072,"#131683","shopify_payments","master","standard","United States",0,0,-18.01,-18.01
"2026-06-01",8993980580136,"#142514","shopify_payments","master","standard","United Kingdom",0,92.24,0,92.24
"2026-06-01",8992979419432,"#142308","shopify_payments","american_express","premium","United States",0,69.64,0,69.64
"2026-06-01",8993718960424,"#142490","shopify_payments","visa","standard","New Zealand",0,65.64,0,65.64
"2026-06-01",8993630257448,"#142484","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8992567787816,"#142166","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8993051017512,"#142332","shopify_payments","visa","standard","United States",0,65.45,0,65.45
"2026-06-01",8994740928808,"#142613","Afterpay (New)",,,"Australia",0,128.22,0,128.22
"2026-06-01",8992371015976,"#142107","shopify_payments","master","standard","United Kingdom",0,65.51,0,65.51
"2026-06-01",8992954417448,"#142298","shopify_payments","visa","standard","Canada",0,69.64,0,69.64
"2026-06-01",8995523592488,"#142735","shopify_payments","visa","standard","United Kingdom",0,71.48,0,71.48
"2026-06-01",8993521303848,"#142471","shopify_payments","master","standard","Canada",0,69.54,0,69.54
"2026-06-01",8995457138984,"#142716","shopify_payments","visa","standard","United Kingdom",0,65.84,0,65.84
"2026-06-01",8993083392296,"#142346","shopify_payments","visa","standard","United States",0,63.09,0,63.09
"2026-06-01",8992717406504,"#142205","shopify_payments","visa","standard","Canada",0,69.74,0,69.74
"2026-06-01",8995094298920,"#142657","shopify_payments","visa","standard","United Kingdom",0,71.35,0,71.35
"2026-06-01",8991996969256,"#142014","paypal",,,"United Kingdom",0,71.16,0,71.16
"2026-06-01",8994637119784,"#142596","shopify_payments","master","standard","United Kingdom",0,71.27,0,71.27
"2026-06-01",8992762298664,"#142218","shopify_payments","master","standard","United States",0,65.55,0,65.55
"2026-06-01",8992176603432,"#142057","shopify_payments","master","standard","United States",0,69.56,0,69.56
"2026-06-01",8992203538728,"#142066","paypal",,,"United Kingdom",0,79.59,0,79.59
"2026-06-01",8994940158248,"#142634","shopify_payments","visa","standard","Canada",0,65.51,0,65.51
"2026-06-01",8992296861992,"#142086","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8992113459496,"#142051","shopify_payments","visa","standard","Canada",0,65.53,0,65.53
"2026-06-01",8992784449832,"#142224","shopify_payments","visa","standard","United Kingdom",0,71.29,0,71.29
"2026-06-01",8993957937448,"#142511","shopify_payments","visa","standard","Australia",0,67.97,0,67.97
"2026-06-01",8993157153064,"#142381","shopify_payments","master","standard","United States",0,69.61,0,69.61
"2026-06-01",8993312538920,"#142416","paypal",,,"United States",0,69.58,0,69.58
"2026-06-01",8993576321320,"#126243","Afterpay (New)",,,"Australia",0,0,-90,-90
"2026-06-01",8992192889128,"#142061","shopify_payments","master","standard","United States",0,70.96,0,70.96
"2026-06-01",8995038462248,"#142651","shopify_payments","master","standard","United Kingdom",0,64.59,0,64.59
"2026-06-01",8992032981288,"#142020","shopify_payments","master","standard","United States",0,70.96,0,70.96
"2026-06-01",8992855884072,"#142254","shopify_payments","visa","standard","Canada",0,69.71,0,69.71
"2026-06-01",8995525558568,"#142736","shopify_payments","visa","standard","United States",0,68.6,0,68.6
"2026-06-01",8992945865000,"#142296","shopify_payments","master","standard","United States",0,69.64,0,69.64
"2026-06-01",8992068665640,"#142031","shopify_payments","visa","standard","United Kingdom",0,65.51,0,65.51
"2026-06-01",8995105505576,"#142660","shopify_payments","master","standard","United States",0,71.13,0,71.13
"2026-06-01",8995209183528,"#142675","shopify_payments","visa","standard","United States",0,101.81,0,101.81
"2026-06-01",8994396602664,"#142571","shopify_payments","visa","standard","Ireland",0,68,0,68
"2026-06-01",8992089014568,"#142040","shopify_payments","visa","standard","United States",0,11.81,0,11.81
"2026-06-01",8992652951848,"#142180","paypal",,,"United Kingdom",0,70.03,0,70.03
"2026-06-01",8992794411304,"#142228","shopify_payments","master","standard","United States",0,100.38,0,100.38
"2026-06-01",8995433447720,"#142708","shopify_payments","visa","standard","United States",0,68.64,0,68.64
"2026-06-01",8992115392808,"#142052","shopify_payments","master","standard","United Kingdom",0,71.13,0,71.13
"2026-06-01",8991989858600,"#142010","shopify_payments","master","standard","United States",0,100.18,0,100.18
"2026-06-01",8995399598376,"#142702","Afterpay (New)",,,"United Kingdom",0,70.05,0,70.05
"2026-06-01",8993982153000,"#142515","shopify_payments","visa","standard","United Kingdom",0,71.17,0,71.17
"2026-06-01",8992306233640,"#142090","shopify_payments","visa","standard","United Kingdom",0,87.98,0,87.98
"2026-06-01",8992242893096,"#142075","shopify_payments","visa","standard","United Kingdom",0,64.39,0,64.39
"2026-06-01",8994669232424,"#142603","shopify_payments","master","standard","United Kingdom",0,65.65,0,65.65
"2026-06-01",8992435732776,"#142129","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8995311747368,"#142681","shopify_payments","visa","standard","United States",0,68.64,0,68.64
"2026-06-01",8992614089000,"#142176","shopify_payments","visa","standard","United States",0,11.81,0,11.81
"2026-06-01",8992734675240,"#142211","shopify_payments","visa","standard","Canada",0,69.74,0,69.74
"2026-06-01",8993027490088,"#142327","shopify_payments","master","standard","United Kingdom",0,62.74,0,62.74
"2026-06-01",8992999833896,"#142315","shopify_payments","american_express","premium","United States",0,71.03,0,71.03
"2026-06-01",8992514375976,"#142149","shopify_payments","visa","standard","United States",0,65.39,0,65.39
"2026-06-01",8992907985192,"#142285","shopify_payments","visa","standard","United States",0,72.43,0,72.43
"2026-06-01",8995495182632,"#142727","shopify_payments","visa","standard","United States",0,68.6,0,68.6
"2026-06-01",8992654950696,"#142182","shopify_payments","visa","standard","Canada",0,69.74,0,69.74
"2026-06-01",8993084768552,"#142348","shopify_payments","visa","standard","United States",0,78.13,0,78.13
"2026-06-01",8993991655720,"#142519","shopify_payments","master","standard","United Kingdom",0,76.9,0,76.9
"2026-06-01",8995377250600,"#142695","paypal",,,"United Kingdom",0,59.37,0,59.37
"2026-06-01",8995320332584,"#142684","shopify_payments","visa","standard","United States",0,68.64,0,68.64
"2026-06-01",8993269940520,"#142406","shopify_payments","visa","standard","United States",0,69.86,0,69.86
"2026-06-01",8995479748904,"#142723","shopify_payments","visa","standard","Germany",0,68.16,0,68.16
"2026-06-01",8995181592872,"#142669","shopify_payments","visa","standard","United States",0,69.73,0,69.73
"2026-06-01",8992839303464,"#142248","shopify_payments","visa","standard","United States",0,69.71,0,69.71
"2026-06-01",8992093208872,"#142042","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8993204666664,"#142395","paypal",,,"United States",0,130.82,0,130.82
"2026-06-01",8995195257128,"#142673","shopify_payments","visa","standard","United Kingdom",0,65.71,0,65.71
"2026-06-01",8995384066344,"#142697","shopify_payments","master","standard","United States",0,68.64,0,68.64
"2026-06-01",8995039674664,"#142652","shopify_payments","master","standard","United States",0,69.73,0,69.73
"2026-06-01",8992858046760,"#142255","paypal",,,"Netherlands",0,77.66,0,77.66
"2026-06-01",8992904380712,"#142284","paypal",,,"United Kingdom",0,71.16,0,71.16
"2026-06-01",8995151773992,"#142665","shopify_payments","visa","standard","United Kingdom",0,73.22,0,73.22
"2026-06-01",8992065454376,"#142030","shopify_payments","visa","standard","United Kingdom",0,73,0,73
"2026-06-01",8995141878056,"#142664","shopify_payments","master","standard","United States",0,69.73,0,69.73
"2026-06-01",8993173569832,"#142388","shopify_payments","master","standard","United States",0,65.43,0,65.43
"2026-06-01",8993087062312,"#142350","shopify_payments","visa","standard","United States",0,69.63,0,69.63
"2026-06-01",8993115406632,"#142359","shopify_payments","master","standard","United States",0,84.95,0,84.95
"2026-06-01",8992262848808,"#142080","shopify_payments","visa","standard","United Kingdom",0,64.39,0,64.39
"2026-06-01",8993011204392,"#142320","paypal",,,"United States",0,100.2,0,100.2
"2026-06-01",8993626652968,"#142483","shopify_payments","visa","standard","United States",0,69.62,0,69.62
"2026-06-01",8993125105960,"#142367","shopify_payments","visa","standard","United States",0,105.82,0,105.82
"2026-06-01",8992101237032,"#142046","shopify_payments","visa","standard","Canada",0,69.56,0,69.56
"2026-06-01",8992838287656,"#142247","paypal",,,"United States",0,70.97,0,70.97
"2026-06-01",8993123172648,"#142362","shopify_payments","visa","standard","United States",0,69.61,0,69.61
"2026-06-01",8995587883304,"#142743","shopify_payments","american_express","premium","United Kingdom",0,71.48,0,71.48
"2026-06-01",8992463192360,"#110810","shopify_payments","master","standard","United States",0,0,-11.06,-11.06
"2026-06-01",8994236334376,"#142547","shopify_payments","visa","standard","United Kingdom",0,71.24,0,71.24
"2026-06-01",8993015038248,"#142321","shopify_payments","master","standard","United Kingdom",0,73.04,0,73.04
"2026-06-01",8992528924968,"#142156","Afterpay (New)",,,"United States",0,47.03,0,47.03
"2026-06-01",8992736706856,"#142212","Afterpay (New)",,,"United States",0,69.58,0,69.58
"2026-06-01",8992963068200,"#142301","paypal",,,"United States",0,84.89,0,84.89
"2026-06-01",8992413319464,"#142120","shopify_payments","american_express","premium","United States",0,70.96,0,70.96
"2026-06-01",8993131823400,"#142370","shopify_payments","visa","standard","United States",0,132.27,0,132.27
"2026-06-01",8992053133608,"#142024","shopify_payments","master","standard","United States",0,70.29,0,70.29
"2026-06-01",8995314762024,"#142682","shopify_payments","visa","standard","United States",0,68.64,0,68.64
"2026-06-01",8993475526952,"#142457","shopify_payments","visa","standard","United States",0,65.4,0,65.4
"2026-06-01",8994642559272,"#142597","shopify_payments","visa","standard","Canada",0,69.54,0,69.54
"2026-06-01",8995600531752,"#142745","shopify_payments","master","standard","Ireland",0,68.16,0,68.16
"2026-06-01",8992133349672,"#142053","shopify_payments","visa","standard","United Kingdom",0,64.39,0,64.39
"2026-06-01",8992197640488,"#142063","shopify_payments","visa","standard","United States",0,69.56,0,69.56
"2026-06-01",8992425378088,"#142124","shopify_payments","master","standard","United Kingdom",0,64.39,0,64.39
"2026-06-01",8993606730024,"#142481","shopify_payments","master","standard","United States",0,69.58,0,69.58
"2026-06-01",8992804831528,"#142232","shopify_payments","visa","standard","United Kingdom",0,71.29,0,71.29
"2026-06-01",8992870269224,"#142265","shopify_payments","visa","standard","United States",0,69.71,0,69.71
"2026-06-01",8993094500648,"#142355","shopify_payments","visa","standard","Canada",0,70.66,0,70.66
"2026-06-01",8992231457064,"#142072","shopify_payments","master","standard","United Kingdom",0,59.33,0,59.33
"2026-06-01",8993743405352,"#142493","shopify_payments","master","standard","Australia",0,61.68,0,61.68
"2026-06-01",8992875741480,"#142270","shopify_payments","visa","standard","United States",0,100.38,0,100.38
"2026-06-01",8993626259752,"#142482","shopify_payments","visa","standard","Australia",0,64.99,0,64.99
"2026-06-01",8993709228328,"#142489","Afterpay (New)",,,"Australia",0,72.97,0,72.97
"2026-06-01",8993232912680,"#142398","shopify_payments","master","standard","United States",0,69.61,0,69.61
"2026-06-01",8994568896808,"#142586","paypal",,,"United Kingdom",0,71.16,0,71.16
"2026-06-01",8993959248168,"#142512","shopify_payments","visa","standard","United Kingdom",0,71.17,0,71.17
